linear_x, angular_z, timestamp
20.0, 0.0, 1681921266.900825706
0.0, 0.0, 1681921268.959547588
-20.0, 0.0, 1681921268.975498849
0.0, 0.0, 1681921269.470245903
0.0, -20.0, 1681921269.637861955
0.0, 0.0, 1681921269.723461716
20.0, 0.0, 1681921271.351335114
0.0, 0.0, 1681921271.788761793
0.0, -20.0, 1681921274.789575074
0.0, 0.0, 1681921275.118721561
0.0, -20.0, 1681921275.630064253
0.0, -20.0, 1681921275.800783312
0.0, -20.0, 1681921275.835785759
0.0, -20.0, 1681921275.868477721
0.0, -20.0, 1681921276.192460712
0.0, -20.0, 1681921276.358931460
0.0, 0.0, 1681921276.420106249
0.0, -20.0, 1681921276.445875547
0.0, 0.0, 1681921276.552664113
0.0, -20.0, 1681921276.738152140
0.0, -20.0, 1681921277.148137818
0.0, -20.0, 1681921277.260575561
0.0, -20.0, 1681921277.474809079
0.0, -20.0, 1681921277.611282939
0.0, -20.0, 1681921277.713231301
0.0, -20.0, 1681921277.849753176
0.0, -20.0, 1681921277.941366990
0.0, -20.0, 1681921278.135844034
0.0, -20.0, 1681921278.174568120
0.0, 0.0, 1681921278.290124136
0.0, -20.0, 1681921278.465678613
0.0, -20.0, 1681921278.620959032
0.0, -20.0, 1681921278.751149038
0.0, -20.0, 1681921278.878280060
0.0, -20.0, 1681921279.54789358
0.0, -20.0, 1681921279.197389466
0.0, -20.0, 1681921279.336099495
0.0, -20.0, 1681921279.532030474
0.0, -20.0, 1681921279.770816244
0.0, -20.0, 1681921279.812152753
0.0, -20.0, 1681921279.852275943
0.0, -20.0, 1681921279.977479799
0.0, -20.0, 1681921279.992656789
0.0, -20.0, 1681921280.17353504
0.0, -20.0, 1681921280.131426477
0.0, -20.0, 1681921280.379851809
0.0, 0.0, 1681921280.470454710
0.0, -20.0, 1681921280.706707573
0.0, 0.0, 1681921280.904951547
0.0, -20.0, 1681921281.10973671
0.0, 0.0, 1681921281.125439679
20.0, 0.0, 1681921281.225251734
0.0, 0.0, 1681921281.353366412
0.0, -20.0, 1681921281.526736430
0.0, -20.0, 1681921282.14385956
0.0, -20.0, 1681921282.208490647
0.0, -20.0, 1681921282.419906310
0.0, -20.0, 1681921282.590810428
0.0, -20.0, 1681921282.669851199
0.0, -20.0, 1681921282.768881715
0.0, -20.0, 1681921282.919291411
0.0, -20.0, 1681921283.148309996
0.0, -20.0, 1681921283.315458320
0.0, -20.0, 1681921283.538348064
0.0, -20.0, 1681921283.565162925
0.0, -20.0, 1681921283.692630821
0.0, -20.0, 1681921284.7368749
0.0, -20.0, 1681921284.117241867
0.0, -20.0, 1681921284.310789402
0.0, -20.0, 1681921284.534228085
0.0, -20.0, 1681921284.744425591
0.0, -20.0, 1681921284.757714573
0.0, -20.0, 1681921284.898875849
0.0, -20.0, 1681921285.135638870
0.0, -20.0, 1681921285.249543239
0.0, -20.0, 1681921285.374861697
0.0, -20.0, 1681921285.480056174
0.0, -20.0, 1681921285.595362671
0.0, 0.0, 1681921285.768134372
20.0, 0.0, 1681921285.968412780
0.0, 0.0, 1681921286.22037329
0.0, -20.0, 1681921286.56054224
0.0, -20.0, 1681921286.220182022
0.0, -20.0, 1681921286.376502221
0.0, -20.0, 1681921286.514398303
0.0, -20.0, 1681921286.619590497
0.0, -20.0, 1681921286.827219775
0.0, -20.0, 1681921286.860820237
0.0, -20.0, 1681921286.881107058
0.0, -20.0, 1681921286.997212450
0.0, -20.0, 1681921287.173717995
0.0, -20.0, 1681921287.370453612
0.0, -20.0, 1681921287.383062246
0.0, 0.0, 1681921287.494382843
20.0, 0.0, 1681921287.613435898
0.0, 0.0, 1681921287.790892511
0.0, -20.0, 1681921292.31633530
0.0, 0.0, 1681921292.610942515
0.0, -20.0, 1681921295.143185778
0.0, -20.0, 1681921295.675329261
0.0, -20.0, 1681921295.755244103
0.0, -20.0, 1681921295.787827780
0.0, -20.0, 1681921295.895602873
0.0, -20.0, 1681921296.135441574
0.0, -20.0, 1681921296.224036469
0.0, -20.0, 1681921296.477033906
0.0, -20.0, 1681921296.524088796
0.0, -20.0, 1681921296.543065320
0.0, -20.0, 1681921296.672267879
0.0, -20.0, 1681921296.808318758
0.0, -20.0, 1681921296.843731800
0.0, -20.0, 1681921297.114749528
0.0, 0.0, 1681921297.147333446
0.0, -20.0, 1681921297.323700091
0.0, -20.0, 1681921297.356017377
0.0, -20.0, 1681921297.386771640
0.0, -20.0, 1681921297.606393268
0.0, 0.0, 1681921297.755446843
0.0, -20.0, 1681921298.42111982
0.0, 0.0, 1681921298.253849048
20.0, 0.0, 1681921299.3709486
0.0, 0.0, 1681921299.233971114
20.0, 0.0, 1681921302.930859220
0.0, 0.0, 1681921303.183504960
0.0, 20.0, 1681921306.974345135
0.0, 0.0, 1681921307.393376423
-20.0, 0.0, 1681921307.793042036
-20.0, 0.0, 1681921308.458245045
-20.0, 0.0, 1681921308.640911874
-20.0, 0.0, 1681921308.785840835
-20.0, 0.0, 1681921308.909593507
-20.0, 0.0, 1681921309.91396453
-20.0, 0.0, 1681921309.260002817
-20.0, 0.0, 1681921309.377395275
-20.0, 0.0, 1681921309.488655565
-20.0, 0.0, 1681921309.612922522
-20.0, 0.0, 1681921309.705946908
-20.0, 0.0, 1681921309.929414172
-20.0, 0.0, 1681921310.173958396
0.0, -20.0, 1681921310.339375529
0.0, -20.0, 1681921310.361919170
0.0, -20.0, 1681921310.378703746
0.0, -20.0, 1681921310.684592985
0.0, -20.0, 1681921310.721668368
0.0, -20.0, 1681921310.816690915
0.0, -20.0, 1681921310.921251008
0.0, -20.0, 1681921311.76326768
0.0, -20.0, 1681921311.166961041
0.0, -20.0, 1681921311.195880803
0.0, -20.0, 1681921311.312080772
0.0, -20.0, 1681921311.463689066
0.0, -20.0, 1681921311.479266960
0.0, -20.0, 1681921311.584878455
0.0, -20.0, 1681921311.739362063
0.0, -20.0, 1681921311.885854405
0.0, -20.0, 1681921312.44481528
0.0, 0.0, 1681921312.250590505
20.0, 0.0, 1681921312.271610999
0.0, 0.0, 1681921312.372924369
20.0, 0.0, 1681921312.968887133
0.0, 0.0, 1681921313.225619324
20.0, 0.0, 1681921317.232329103
0.0, 0.0, 1681921317.405203912
20.0, 0.0, 1681921325.905819938
0.0, 0.0, 1681921326.75369612
20.0, 0.0, 1681921326.675342664
0.0, 0.0, 1681921326.956540063
-20.0, 0.0, 1681921331.547671661
0.0, 0.0, 1681921331.687059944
-20.0, 0.0, 1681921331.988360323
0.0, 0.0, 1681921332.438924346
-20.0, 0.0, 1681921332.672941232
-20.0, 0.0, 1681921333.134241893
-20.0, 0.0, 1681921333.181375083
-20.0, 0.0, 1681921333.344311383
-20.0, 0.0, 1681921333.527838323
0.0, 0.0, 1681921333.647064890
-20.0, 0.0, 1681921334.505188699
0.0, 0.0, 1681921334.914116407
-20.0, 0.0, 1681921335.311748295
0.0, 0.0, 1681921335.443195606
0.0, -20.0, 1681921336.1096640
0.0, -20.0, 1681921336.576020238
0.0, 0.0, 1681921336.763381074
20.0, 0.0, 1681921338.172835425
20.0, 0.0, 1681921338.757401253
20.0, 0.0, 1681921338.953512108
20.0, 0.0, 1681921339.150712911
20.0, 0.0, 1681921339.331465354
20.0, 0.0, 1681921339.444918837
20.0, 0.0, 1681921339.610610958
0.0, 0.0, 1681921339.634284421
20.0, 0.0, 1681921340.882347440
0.0, 0.0, 1681921341.307595806
0.0, 20.0, 1681921344.328458946
0.0, 20.0, 1681921344.963528653
0.0, 20.0, 1681921345.117302429
0.0, 20.0, 1681921345.243603885
0.0, 20.0, 1681921345.381037797
0.0, 20.0, 1681921345.657143409
0.0, 20.0, 1681921345.705708833
0.0, 20.0, 1681921345.753932911
0.0, 20.0, 1681921345.949939444
0.0, 20.0, 1681921346.69044648
0.0, 20.0, 1681921346.263724401
0.0, 20.0, 1681921346.508180621
0.0, 20.0, 1681921346.568000016
0.0, 20.0, 1681921346.614745233
0.0, 20.0, 1681921346.773695199
0.0, 20.0, 1681921346.898412440
0.0, 20.0, 1681921346.913427123
0.0, 20.0, 1681921346.933399223
0.0, 20.0, 1681921346.950321198
0.0, 20.0, 1681921347.236395742
0.0, 20.0, 1681921347.260294142
0.0, 20.0, 1681921347.297676293
0.0, 20.0, 1681921347.496283992
0.0, 20.0, 1681921347.627815940
0.0, 20.0, 1681921347.796377014
0.0, 0.0, 1681921347.990467764
20.0, 0.0, 1681921348.737309285
0.0, 0.0, 1681921348.884135424
20.0, 0.0, 1681921349.300155240
0.0, 0.0, 1681921349.510431715
-20.0, 0.0, 1681921350.966708850
0.0, 0.0, 1681921351.307306718
-20.0, 0.0, 1681921351.793625306
0.0, 0.0, 1681921352.211712480
-20.0, 0.0, 1681921355.848566002
0.0, 0.0, 1681921356.188624487
20.0, 0.0, 1681921387.94887576
0.0, 0.0, 1681921387.547272999
0.0, -20.0, 1681921390.180439638
